	Class	Family	Ligand 0	Ligand 1	Ligand 2	Ligand 3	Ligand 4	Ligand 5	Ligand 6	Ligand 7	Ligand 8	Ligand 9	Ligand 10	Ligand 11
BAI1	Adhesion class	Adhesion Class GPCRs	PISD	PTDSS1	PTDSS2									
ADGRB1	Adhesion class	Adhesion Class GPCRs	PISD	PTDSS1	PTDSS2									
BAI2	Adhesion class	Adhesion Class GPCRs												
ADGRB2	Adhesion class	Adhesion Class GPCRs												
BAI3	Adhesion class	Adhesion Class GPCRs	C1QL1	C1QL3										
ADGRB3	Adhesion class	Adhesion Class GPCRs	C1QL1	C1QL3										
CD97	Adhesion class	Adhesion Class GPCRs	CHST3	CD55	THY1									
ADGRE5	Adhesion class	Adhesion Class GPCRs	CHST3	CD55	THY1									
CELSR1	Adhesion class	Adhesion Class GPCRs												
CELSR2	Adhesion class	Adhesion Class GPCRs												
EGFL2	Adhesion class	Adhesion Class GPCRs												
CELSR3	Adhesion class	Adhesion Class GPCRs												
EGFL3	Adhesion class	Adhesion Class GPCRs												
ELTD1	Adhesion class	Adhesion Class GPCRs												
ADGRL4	Adhesion class	Adhesion Class GPCRs												
EMR1	Adhesion class	Adhesion Class GPCRs												
ADGRE1	Adhesion class	Adhesion Class GPCRs												
EMR2	Adhesion class	Adhesion Class GPCRs	CHST3											
ADGRE2	Adhesion class	Adhesion Class GPCRs	CHST3											
EMR3	Adhesion class	Adhesion Class GPCRs												
ADGRE3	Adhesion class	Adhesion Class GPCRs												
EMR4P	Adhesion class	Adhesion Class GPCRs												
ADGRE4P	Adhesion class	Adhesion Class GPCRs												
GPR110	Adhesion class	Adhesion Class GPCRs												
ADGRF1	Adhesion class	Adhesion Class GPCRs												
GPR111	Adhesion class	Adhesion Class GPCRs												
ADGRF2	Adhesion class	Adhesion Class GPCRs												
GPR112	Adhesion class	Adhesion Class GPCRs												
ADGRG4	Adhesion class	Adhesion Class GPCRs												
GPR113	Adhesion class	Adhesion Class GPCRs												
ADGRF3	Adhesion class	Adhesion Class GPCRs												
GPR114	Adhesion class	Adhesion Class GPCRs												
ADGRG5	Adhesion class	Adhesion Class GPCRs												
GPR115	Adhesion class	Adhesion Class GPCRs												
ADGRF4	Adhesion class	Adhesion Class GPCRs												
GPR116	Adhesion class	Adhesion Class GPCRs												
ADGRF5	Adhesion class	Adhesion Class GPCRs												
GPR123	Adhesion class	Adhesion Class GPCRs												
ADGRA1	Adhesion class	Adhesion Class GPCRs												
GPR124	Adhesion class	Adhesion Class GPCRs												
ADGRA2	Adhesion class	Adhesion Class GPCRs												
GPR125	Adhesion class	Adhesion Class GPCRs												
ADGRA3	Adhesion class	Adhesion Class GPCRs												
GPR126	Adhesion class	Adhesion Class GPCRs	COL4A1	LAMA2										
ADGRG6	Adhesion class	Adhesion Class GPCRs	COL4A1	LAMA2										
GPR128	Adhesion class	Adhesion Class GPCRs												
ADGRG7	Adhesion class	Adhesion Class GPCRs												
GPR133	Adhesion class	Adhesion Class GPCRs												
ADGRD1	Adhesion class	Adhesion Class GPCRs												
GPR144	Adhesion class	Adhesion Class GPCRs												
ADGRD2	Adhesion class	Adhesion Class GPCRs												
GPR56	Adhesion class	Adhesion Class GPCRs	TGM2	COL3A1										
ADGRG1	Adhesion class	Adhesion Class GPCRs	TGM2	COL3A1										
GPR64	Adhesion class	Adhesion Class GPCRs												
ADGRG2	Adhesion class	Adhesion Class GPCRs												
GPR97	Adhesion class	Adhesion Class GPCRs												
ADGRG3	Adhesion class	Adhesion Class GPCRs												
GPR98	Adhesion class	Adhesion Class GPCRs												
ADGRV1	Adhesion class	Adhesion Class GPCRs												
LPHN1	Adhesion class	Adhesion Class GPCRs	TENM2	NRXN1										
ADGRL1	Adhesion class	Adhesion Class GPCRs	TENM2	NRXN1										
LPHN2	Adhesion class	Adhesion Class GPCRs												
ADGRL2	Adhesion class	Adhesion Class GPCRs												
LPHN3	Adhesion class	Adhesion Class GPCRs	FLRT3	FLRT2										
ADGRL3	Adhesion class	Adhesion Class GPCRs	FLRT3	FLRT2										
ADORA1	class A	Adenosine receptors	ADA1	ADA2										
ADORA2A	class A	Adenosine receptors	ADA1	ADA2										
ADORA2B	class A	Adenosine receptors	ADA1	ADA2										
ADORA3	class A	Adenosine receptors	ADA1	ADA2										
ADRA1A	class A	Adrenoceptors	PNMT	DBH										
ADRA1B	class A	Adrenoceptors	PNMT	DBH										
ADRA1D	class A	Adrenoceptors	PNMT	DBH										
ADRA2A	class A	Adrenoceptors	PNMT	DBH										
ADRA2B	class A	Adrenoceptors	PNMT	DBH										
ADRA2C	class A	Adrenoceptors	PNMT	DBH										
ADRB1	class A	Adrenoceptors	PNMT	DBH										
ADRB2	class A	Adrenoceptors	PNMT	DBH										
ADRB3	class A	Adrenoceptors	PNMT	DBH										
AGTR1	class A	Angiotensin receptors	ACE	ACE2										
AGTR2	class A	Angiotensin receptors	ACE	ACE2										
APLNR	class A	Apelin receptor	APLN	ACE2										
AVPR1A	class A	Vasopressin and oxytocin receptors	OXT	AVP										
AVPR1B	class A	Vasopressin and oxytocin receptors	OXT	AVP										
AVPR2	class A	Vasopressin and oxytocin receptors	OXT	AVP										
BDKRB1	class A	Bradykinin receptors	KNG1	HMWK	KLK1	KLK2	KLK12							
BDKRB2	class A	Bradykinin receptors	KNG2	HMWK	KLK2	KLK3	KLK13							
BRS3	class A	Bombesin receptors	GRP	NMB										
C3AR1	class A	Complement peptide receptors	C5	C3										
C5AR1	class A	Complement peptide receptors	C5	C3										
CCBP2	class A	Chemokine receptors												
CCR1	class A	Chemokine receptors	CCL14	CCL15	CCL23	CCL5	CCL7	CCL13	CCL8	CCL16	CCL4	CCL3	CCL7	
CCR2	class A	Chemokine receptors	CCL7	CCL13	CCL2	CCL8	CCL16	CCL11	CCL26	CCL2	CCL7	CCL3	CCL11	
CCR3	class A	Chemokine receptors	CCL15	CCL5	CCL7	CCL13	CCL8	CCL24	CCL26	CCL2	CCL28	CXCL9	CXCL10	CXCL11
CCR4	class A	Chemokine receptors	CCL17	CCL22										
CCR5	class A	Chemokine receptors	CCL14	CCL3	CCL4	CCL5	CCL11	CCL8	CCL15	CCL2	CCL7			
CCR6	class A	Chemokine receptors	CCL20	DEFB4A										
CCR7	class A	Chemokine receptors	CCL19	CCL21										
CCR8	class A	Chemokine receptors	CCL1											
CCR9	class A	Chemokine receptors	CCL25											
CCR10	class A	Chemokine receptors	CCL27	CCL28										
CXCR1	class A	Chemokine receptors	CXCL6	CXCL8	CXCL1									
CXCR2	class A	Chemokine receptors	CXCL1	CXCL6	CXCL8	CXCL2	CXCL3	CXCL5	CXCL7					
CXCR3	class A	Chemokine receptors	CXCL10	CXCL11	CXCL9									
CXCR4	class A	Chemokine receptors	CXCL12											
CXCR5	class A	Chemokine receptors	CXCL13											
CXCR6	class A	Chemokine receptors	CXCL16											
CX3CR1	class A	Chemokine receptors	CX3CL1											
XCR1	class A	Chemokine receptors	XCL1	XCL2										
ACKR1	class A	Chemokine receptors												
ACKR2	class A	Chemokine receptors												
ACKR3	class A	Chemokine receptors	CXCL11	CXCL12										
ACKR4	class A	Chemokine receptors												
CCRL2	class A	Chemokine receptors	CCL19											
CCKAR	class A	Cholecystokinin receptors	CCK	GAST										
CCKBR	class A	Cholecystokinin receptors	CCK	GAST										
CHRM1	class A	Acetylcholine receptors (muscarinic)	ACHE	CHAT										
CHRM2	class A	Acetylcholine receptors (muscarinic)	ACHE	CHAT										
CHRM3	class A	Acetylcholine receptors (muscarinic)	ACHE	CHAT										
CHRM4	class A	Acetylcholine receptors (muscarinic)	ACHE	CHAT										
CHRM5	class A	Acetylcholine receptors (muscarinic)	ACHE	CHAT										
CMKLR1	class A	Chemerin receptor	RARRES2											
CNR1	class A	Cannabinoid receptors	FAAH	DAGLA										
CNR2	class A	Cannabinoid receptors	FAAH	DAGLA										
CYSLTR1	class A	Leukotriene receptors	ALOX15	ALOX5	PLA2G2A									
CYSLTR2	class A	Leukotriene receptors	ALOX15	ALOX5	PLA2G2A									
DARC	class A	Chemokine receptors												
DRD1	class A	Dopamine receptors	DDC	CYP2D6										
DRD2	class A	Dopamine receptors	DDC	CYP2D6										
DRD3	class A	Dopamine receptors	DDC	CYP2D6										
DRD4	class A	Dopamine receptors	DDC	CYP2D6										
DRD5	class A	Dopamine receptors	DDC	CYP2D6										
EDNRA	class A	Endothelin receptors	EDN1	EDN2										
EDNRB	class A	Endothelin receptors	END1	EDN2										
F2R	class A	Proteinase-activated receptors	F2											
F2RL1	class A	Proteinase-activated receptors	ST14	PRSS1										
F2RL2	class A	Proteinase-activated receptors	PRSS1											
F2RL3	class A	Proteinase-activated receptors	F2											
FFAR1	class A	Free fatty acid receptors	FADS1											
FFAR2	class A	Free fatty acid receptors												
FFAR3	class A	Free fatty acid receptors												
FPR1	class A	Formylpeptide receptors	ANXA1	CTSG										
FPR2	class A	Formylpeptide receptors	ANXA1											
FPR3	class A	Formylpeptide receptors	HEBP1											
FSHR	class A	Glycoprotein hormone receptors	FSHB											
GALR1	class A	Galanin receptors	GAL	GALP										
GALR2	class A	Galanin receptors	GAL	GALP										
GALR3	class A	Galanin receptors	GAL	GALP										
GHSR	class A	Ghrelin receptor	GHRL											
GNRHR	class A	Gonadotrophin-releasing hormone receptors	GNRH1	GNRH2										
GNRHR2	class A	Gonadotrophin-releasing hormone receptors	GNRH1	GNRH2										
GPBAR1	class A	Bile acid receptor	HSD3B7	CYP8B1										
GPER	class A	Estrogen (G protein-coupled) receptor	CYP19A1											
GPR1	class A	Class A Orphans												
GPR101	class A	Class A Orphans												
GPR109A	class A	Hydroxycarboxylic acid receptors												
GPR109B	class A	Hydroxycarboxylic acid receptors												
GPR119	class A	Class A Orphans	NAPEPLD											
GPR12	class A	Class A Orphans	SPHK1	SPHK2										
FFAR4	class A	Free fatty acid receptors												
GPR132	class A	Class A Orphans												
GPR135	class A	Class A Orphans												
GPR139	class A	Class A Orphans												
GPR141	class A	Class A Orphans												
GPR142	class A	Class A Orphans												
GPR146	class A	Class A Orphans												
GPR148	class A	Class A Orphans												
GPR149	class A	Class A Orphans												
GPR15	class A	Class A Orphans												
GPR150	class A	Class A Orphans												
GPR151	class A	Class A Orphans												
GPR152	class A	Class A Orphans												
GPR153	class A	Class A Orphans												
GPR160	class A	Class A Orphans												
GPR161	class A	Class A Orphans												
GPR162	class A	Class A Orphans												
GPR17	class A	Class A Orphans												
GPR171	class A	Class A Orphans												
GPR173	class A	Class A Orphans												
GPR174	class A	Class A Orphans												
GPR176	class A	Class A Orphans												
GPR18	class A	Class A Orphans												
GPR182	class A	Class A Orphans												
GPR183	class A	Class A Orphans	CYP7A1	CH25H										
GPR19	class A	Class A Orphans												
GPR20	class A	Class A Orphans												
GPR21	class A	Class A Orphans												
GPR22	class A	Class A Orphans												
GPR25	class A	Class A Orphans												
GPR26	class A	Class A Orphans												
GPR27	class A	Class A Orphans												
GPR3	class A	Class A Orphans												
GPR31	class A	Class A Orphans												
GPR32	class A	Class A Orphans												
GPR34	class A	Class A Orphans												
GPR35	class A	Class A Orphans	KYAT1	KYAT2	KYAT3									
GPR37	class A	Class A Orphans	PSAP											
GPR37L1	class A	Class A Orphans	PSAP											
GPR39	class A	Class A Orphans	GHRL											
GPR4	class A	Class A Orphans												
GPR42	class A	Class A Orphans												
GPR45	class A	Class A Orphans												
GPR50	class A	Class A Orphans												
GPR52	class A	Class A Orphans												
GPR55	class A	Class A Orphans												
GPR6	class A	Class A Orphans	SPHK1	SPHK2										
GPR61	class A	Class A Orphans												
GPR62	class A	Class A Orphans												
GPR63	class A	Class A Orphans	SPHK1	SPHK2										
GPR65	class A	Class A Orphans												
GPR68	class A	Class A Orphans												
GPR75	class A	Class A Orphans	CCL5											
GPR77	class A	Complement peptide receptors												
GPR78	class A	Class A Orphans												
HCAR1	class A	Hydroxycarboxylic acid receptors	LDHA	LDHB	LDHC	LDHD								
GPR81	class A	Hydroxycarboxylic acid receptors	LDHA	LDHB	LDHC	LDHD								
GPR82	class A	Class A Orphans												
GPR83	class A	Class A Orphans												
GPR84	class A	Class A Orphans												
GPR85	class A	Class A Orphans												
GPR87	class A	Class A Orphans												
GPR88	class A	Class A Orphans												
GRPR	class A	Bombesin receptors	GRP	NMB										
HCRTR1	class A	Orexin receptors	HCRT											
HCRTR2	class A	Orexin receptors	HCRT											
HRH1	class A	Histamine receptors	HDC											
HRH2	class A	Histamine receptors	HDC											
HRH3	class A	Histamine receptors	HDC											
HRH4	class A	Histamine receptors	HDC											
HTR1A	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR1B	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR1D	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR1E	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR1F	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR2A	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR2B	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR2C	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR4	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR5A	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR6	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
HTR7	class A	5-Hydroxytryptamine receptors	TPH1	TPH2										
KISS1R	class A	Kisspeptin receptor	KISS1											
LGR4	class A	Class A Orphans	RSPO1											
LGR5	class A	Class A Orphans	RSPO1											
LGR6	class A	Class A Orphans	RSPO1											
LHCGR	class A	Glycoprotein hormone receptors	CGA	LHB										
LPAR1	class A	Lysophospholipid (LPA) receptors	LPA											
LPAR2	class A	Lysophospholipid (LPA) receptors	LPA											
LPAR3	class A	Lysophospholipid (LPA) receptors	LPA											
LPAR4	class A	Lysophospholipid (LPA) receptors	LPA											
LPAR5	class A	Lysophospholipid (LPA) receptors	LPA											
LPAR6	class A	Lysophospholipid (LPA) receptors	LPA											
LTB4R	class A	Leukotriene receptors	LTA4H	ALOX12										
LTB4R2	class A	Leukotriene receptors	LTA4H	ALOX12										
MAS1	class A	Class A Orphans												
MAS1L	class A	Class A Orphans												
MC1R	class A	Melanocortin receptors	POMC											
MC2R	class A	Melanocortin receptors	POMC											
MC3R	class A	Melanocortin receptors	POMC											
MC4R	class A	Melanocortin receptors	POMC											
MC5R	class A	Melanocortin receptors	POMC											
MCHR1	class A	Melanin-concentrating hormone receptors	PMCH											
MCHR2	class A	Melanin-concentrating hormone receptors	PMCH											
MLNR	class A	Motilin receptor	MLN											
MRGPRD	class A	Class A Orphans												
MRGPRE	class A	Class A Orphans												
MRGPRF	class A	Class A Orphans												
MRGPRG	class A	Class A Orphans												
MRGPRX1	class A	Class A Orphans												
MRGPRX2	class A	Class A Orphans												
MRGPRX3	class A	Class A Orphans												
MRGPRX4	class A	Class A Orphans												
MTNR1A	class A	Melatonin receptors	ASMT											
MTNR1B	class A	Melatonin receptors	ASMT											
NMBR	class A	Bombesin receptors	GRP	NMB										
NMUR1	class A	Neuromedin U receptors	NMS											
NMUR2	class A	Neuromedin U receptors	NMS											
NPBWR1	class A	Neuropeptide W/neuropeptide B receptors	NPB											
NPBWR2	class A	Neuropeptide W/neuropeptide B receptors	NPB											
NPFFR1	class A	Neuropeptide FF/neuropeptide AF receptors	NPFF											
NPFFR2	class A	Neuropeptide FF/neuropeptide AF receptors	NPFF											
NPSR1	class A	Neuropeptide S receptor	NPS											
NPY1R	class A	Neuropeptide Y receptors	NPY											
NPY2R	class A	Neuropeptide Y receptors	NPY											
NPY5R	class A	Neuropeptide Y receptors	NPY											
NPY6R	class A	Neuropeptide Y receptors	NPY											
NTSR1	class A	Neurotensin receptors	NTS											
NTSR2	class A	Neurotensin receptors	NTS											
OPN3	class A	Class A Orphans												
OPN4	class A	Class A Orphans												
OPN5	class A	Class A Orphans												
OPRD1	class A	Opioid receptors	PDYN	POMC										
OPRK1	class A	Opioid receptors	PDYN	POMC										
OPRL1	class A	Opioid receptors	PNOC											
OPRM1	class A	Opioid receptors	PDYN	POMC										
OXER1	class A	Leukotriene receptors	ALOX5											
OXGR1	class A	Oxoglutarate receptor	OGDH	IDH3A	IDH3B	IDH3G								
OXTR	class A	Vasopressin and oxytocin receptors	OXT											
P2RY1	class A	P2Y receptors												
P2RY10	class A	Class A Orphans												
P2RY11	class A	P2Y receptors												
P2RY12	class A	P2Y receptors												
P2RY13	class A	P2Y receptors												
P2RY14	class A	P2Y receptors												
P2RY2	class A	P2Y receptors												
P2RY4	class A	P2Y receptors												
P2RY6	class A	P2Y receptors												
P2RY8	class A	Class A Orphans												
PPYR1	class A	Neuropeptide Y receptors	NPY											
PRLHR	class A	Prolactin-releasing peptide receptor	PRLH											
PROKR1	class A	Prokineticin receptors	PROK1	PROK2										
PROKR2	class A	Prokineticin receptors	PROK1	PROK2										
PTAFR	class A	Platelet-activating factor receptor	LPCAT1	LPCAT2	LPCAT3	LPCAT4								
PTGDR2	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
GPR44	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
PTGDR	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
PTGER1	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
PTGER2	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
PTGER3	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
PTGER4	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
PTGFR	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
PTGIR	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1								
QRFPR	class A	Peptide P518 receptor	QRFP											
RXFP1	class A	Relaxin family peptide receptors	RLN1	RLN2	RLN3									
RXFP2	class A	Relaxin family peptide receptors	RLN1	RLN2	RLN3	INSL3								
RXFP3	class A	Relaxin family peptide receptors	RLN1	RLN2	RLN3									
RXFP4	class A	Relaxin family peptide receptors	RLN1	RLN2	RLN3	INSL5								
S1PR1	class A	Lysophospholipid (S1P) receptors	SPHK1	SPHK2										
S1PR2	class A	Lysophospholipid (S1P) receptors	SPHK1	SPHK2										
S1PR3	class A	Lysophospholipid (S1P) receptors	SPHK1	SPHK2										
S1PR4	class A	Lysophospholipid (S1P) receptors	SPHK1	SPHK2										
S1PR5	class A	Lysophospholipid (S1P) receptors	SPHK1	SPHK2										
SSTR1	class A	Somatostatin receptors	CORT	SST										
SSTR2	class A	Somatostatin receptors	CORT	SST										
SSTR3	class A	Somatostatin receptors	CORT	SST										
SSTR4	class A	Somatostatin receptors	CORT	SST										
SSTR5	class A	Somatostatin receptors	CORT	SST										
SUCNR1	class A	Succinate receptor	SUCLG1	SUCLA2	SUCLG2									
TAAR1	class A	Trace amine receptor	DDC	CYP2D6										
TAAR2	class A	Class A Orphans												
TAAR5	class A	Class A Orphans												
TAAR6	class A	Class A Orphans												
TAAR8	class A	Class A Orphans												
TAAR9	class A	Class A Orphans												
TACR1	class A	Tachykinin receptors	TAC1	TAC3										
TACR2	class A	Tachykinin receptors	TAC1	TAC3										
TACR3	class A	Tachykinin receptors	TAC1	TAC3										
TAS2R1	class A	Taste 2 receptors												
TAS2R10	class A	Taste 2 receptors												
TAS2R13	class A	Taste 2 receptors												
TAS2R14	class A	Taste 2 receptors												
TAS2R16	class A	Taste 2 receptors												
TAS2R19	class A	Taste 2 receptors												
TAS2R20	class A	Taste 2 receptors												
TAS2R3	class A	Taste 2 receptors												
TAS2R30	class A	Taste 2 receptors												
TAS2R31	class A	Taste 2 receptors												
TAS2R38	class A	Taste 2 receptors												
TAS2R39	class A	Taste 2 receptors												
TAS2R4	class A	Taste 2 receptors												
TAS2R40	class A	Taste 2 receptors												
TAS2R41	class A	Taste 2 receptors												
TAS2R42	class A	Taste 2 receptors												
TAS2R43	class A	Taste 2 receptors												
TAS2R45	class A	Taste 2 receptors												
TAS2R46	class A	Taste 2 receptors												
TAS2R5	class A	Taste 2 receptors												
TAS2R50	class A	Taste 2 receptors												
TAS2R60	class A	Taste 2 receptors												
TAS2R7	class A	Taste 2 receptors												
TAS2R8	class A	Taste 2 receptors												
TAS2R9	class A	Taste 2 receptors												
TBXA2R	class A	Prostanoid receptors	PTGDS	PTGS2	PTGIS	PTGS1	TBXAS1							
TRHR	class A	Thyrotropin-releasing hormone receptors	TRH											
TSHR	class A	Glycoprotein hormone receptors	CGA	TSHB										
UTS2R	class A	Urotensin receptor	UTS2											
ADCYAP1R1	class B	VIP and PACAP receptors	ADCYAP1	VIP										
CALCR	class B	Calcitonin receptors	CALCA	IAPP										
CALCRL	class B	Calcitonin receptors	CALCA	IAPP										
CRHR1	class B	Corticotropin-releasing factor receptors	CRH											
CRHR2	class B	Corticotropin-releasing factor receptors	CRH											
GCGR	class B	Glucagon receptor family	GCG											
GHRHR	class B	Glucagon receptor family	GHRH											
GIPR	class B	Glucagon receptor family	GIP											
GLP1R	class B	Glucagon receptor family	GCG											
GLP2R	class B	Glucagon receptor family	GCG											
PTH1R	class B	Parathyroid hormone receptors	PTH	PTHLH										
PTH2R	class B	Parathyroid hormone receptors	PTH	PTHLH										
SCTR	class B	Glucagon receptor family	SCT											
VIPR1	class B	VIP and PACAP receptors	ADCYAP1	VIP										
VIPR2	class B	VIP and PACAP receptors	ADCYAP1	VIP										
CASR	class C	Calcium-sensing receptors												
GABBR1	class C	GABAB receptors	GAD											
GABBR2	class C	GABAB receptors	GAD											
GPR156	class C	Class C Orphans												
GPR158	class C	Class C Orphans												
GPR179	class C	Class C Orphans												
GPRC5A	class C	Class C Orphans												
GPRC5B	class C	Class C Orphans												
GPRC5C	class C	Class C Orphans												
GPRC5D	class C	Class C Orphans												
GPRC6A	class C	Calcium-sensing receptors												
GRM1	class C	Metabotropic glutamate receptors	GLS	GLS2	GLUD1	GLUD2	GOT1	CDO1						
GRM2	class C	Metabotropic glutamate receptors	GLS	GLS2	GLUD1	GLUD2	GOT1	CDO1						
GRM3	class C	Metabotropic glutamate receptors	GLS	GLS2	GLUD1	GLUD2	GOT1	CDO1						
GRM4	class C	Metabotropic glutamate receptors	GLS	GLS2	GLUD1	GLUD2	GOT1	CDO1						
GRM5	class C	Metabotropic glutamate receptors	GLS	GLS2	GLUD1	GLUD2	GOT1	CDO1						
GRM6	class C	Metabotropic glutamate receptors	GLS	GLS2	GLUD1	GLUD2	GOT1	CDO1						
GRM7	class C	Metabotropic glutamate receptors	GLS	GLS2	GLUD1	GLUD2	GOT1	CDO1						
GRM8	class C	Metabotropic glutamate receptors	GLS	GLS2	GLUD1	GLUD2	GOT1	CDO1						
TAS1R1	class C	Taste 1 receptors												
TAS1R2	class C	Taste 1 receptors												
TAS1R3	class C	Taste 1 receptors												
FZD1	Class Frizzled	Class Frizzled GPCRs	WNT1	WNT2	WNT5A	WNT3A	WNT7B							
FZD10	Class Frizzled	Class Frizzled GPCRs	WNT1	WNT2	WNT5A	WNT3A	WNT7B							
FZD2	Class Frizzled	Class Frizzled GPCRs	WNT5A											
FZD3	Class Frizzled	Class Frizzled GPCRs												
FZD4	Class Frizzled	Class Frizzled GPCRs	WNT1	WNT2	WNT5A	WNT3A	WNT7B							
FZD5	Class Frizzled	Class Frizzled GPCRs	WNT1	WNT2	WNT5A	WNT3A	WNT7B							
FZD6	Class Frizzled	Class Frizzled GPCRs	WNT4	WNT5A	WNT3A									
FZD7	Class Frizzled	Class Frizzled GPCRs	WNT1	WNT2	WNT5A	WNT3A	WNT7B							
FZD8	Class Frizzled	Class Frizzled GPCRs	WNT1	WNT2	WNT5A	WNT3A	WNT7B							
FZD9	Class Frizzled	Class Frizzled GPCRs	WNT1	WNT2	WNT5A	WNT3A	WNT7B							
SMO	Class Frizzled	Class Frizzled GPCRs												
GPR107	Other 7TM proteins	Other 7TM proteins	SST											
GPR137	Other 7TM proteins	Other 7TM proteins												
GPR143	Other 7TM proteins	Other 7TM proteins												
GPR157	Other 7TM proteins	Other 7TM proteins												
OR51E1	Other 7TM proteins	Other 7TM proteins												
TPRA1	Other 7TM proteins	Other 7TM proteins												
